id,tag_name,created_at
1,sunset,2023-04-13 08:04:00
2,photography,2023-04-13 08:04:00
3,sunrise,2023-04-13 08:04:00
4,landscape,2023-04-13 08:04:00
5,food,2023-04-13 08:04:00
6,foodie,2023-04-13 08:04:00
7,delicious,2023-04-13 08:04:00
8,beauty,2023-04-13 08:04:00
9,stunning,2023-04-13 08:04:00
10,dreamy,2023-04-13 08:04:00
11,lol,2023-04-13 08:04:00
12,happy,2023-04-13 08:04:00
13,fun,2023-04-13 08:04:00
14,style,2023-04-13 08:04:00
15,hair,2023-04-13 08:04:00
16,fashion,2023-04-13 08:04:00
17,party,2023-04-13 08:04:00
18,concert,2023-04-13 08:04:00
19,drunk,2023-04-13 08:04:00
20,beach,2023-04-13 08:04:00
21,smile,2023-04-13 08:04:00
