follower,followee ,created time,is follower active,followee Acc status
2,1,13-04-2023 08:04,1,Private
2,3,13-04-2023 08:04,0,private
2,4,13-04-2023 08:04,0,public
2,5,13-04-2023 08:04,0,private
2,6,13-04-2023 08:04,1,private
2,7,13-04-2023 08:04,0,public
2,8,13-04-2023 08:04,0,public
2,9,13-04-2023 08:04,0,public
2,10,13-04-2023 08:04,0,Private
2,11,13-04-2023 08:04,0,private
2,12,13-04-2023 08:04,0,public
2,13,13-04-2023 08:04,0,private
2,14,13-04-2023 08:04,0,private
2,15,13-04-2023 08:04,0,public
2,16,13-04-2023 08:04,0,public
2,17,13-04-2023 08:04,0,public
2,18,13-04-2023 08:04,0,Private
2,19,13-04-2023 08:04,0,private
2,20,13-04-2023 08:04,0,public
2,21,13-04-2023 08:04,0,private
2,22,13-04-2023 08:04,0,private
2,23,13-04-2023 08:04,0,public
2,24,13-04-2023 08:04,0,public
2,25,13-04-2023 08:04,0,public
2,26,13-04-2023 08:04,0,Private
2,27,13-04-2023 08:04,0,private
2,28,13-04-2023 08:04,0,public
2,29,13-04-2023 08:04,0,private
2,30,13-04-2023 08:04,0,private
2,31,13-04-2023 08:04,0,public
2,32,13-04-2023 08:04,0,public
2,33,13-04-2023 08:04,0,public
2,34,13-04-2023 08:04,0,Private
2,35,13-04-2023 08:04,0,private
2,36,13-04-2023 08:04,0,public
2,37,13-04-2023 08:04,0,private
2,38,13-04-2023 08:04,0,private
2,39,13-04-2023 08:04,0,public
2,40,13-04-2023 08:04,0,Private
2,41,13-04-2023 08:04,0,private
2,42,13-04-2023 08:04,0,public
2,43,13-04-2023 08:04,0,private
2,44,13-04-2023 08:04,0,private
2,45,13-04-2023 08:04,0,public
2,46,13-04-2023 08:04,0,public
2,47,13-04-2023 08:04,0,public
2,48,13-04-2023 08:04,0,Private
2,49,13-04-2023 08:04,0,private
2,50,13-04-2023 08:04,0,public
2,51,13-04-2023 08:04,0,private
2,52,13-04-2023 08:04,0,private
2,53,13-04-2023 08:04,0,public
2,54,13-04-2023 08:04,0,public
2,55,13-04-2023 08:04,0,public
2,56,13-04-2023 08:04,0,Private
2,57,13-04-2023 08:04,0,private
2,58,13-04-2023 08:04,0,public
