user ,photo,created time,following or not,like type
2,1,13-04-2023 08:04,yes,heart emoji
2,4,13-04-2023 08:04,no,thumbs up
2,8,13-04-2023 08:04,yes,laughing
2,9,13-04-2023 08:04,no,fire
2,10,13-04-2023 08:04,yes,clap
2,11,13-04-2023 08:04,yes,single tap
2,12,13-04-2023 08:04,no,double tap
2,13,13-04-2023 08:04,yes,heart emoji
2,15,13-04-2023 08:04,no,thumbs up
2,23,13-04-2023 08:04,yes,laughing
2,25,13-04-2023 08:04,yes,fire
2,27,13-04-2023 08:04,no,clap
2,30,13-04-2023 08:04,yes,single tap
2,34,13-04-2023 08:04,no,double tap
2,36,13-04-2023 08:04,yes,heart emoji
2,39,13-04-2023 08:04,yes,thumbs up
2,41,13-04-2023 08:04,no,laughing
2,43,13-04-2023 08:04,yes,fire
2,45,13-04-2023 08:04,no,clap
2,48,13-04-2023 08:04,yes,clap
2,49,13-04-2023 08:04,yes,single tap
2,50,13-04-2023 08:04,no,double tap
2,52,13-04-2023 08:04,yes,heart emoji
2,53,13-04-2023 08:04,no,thumbs up
2,58,13-04-2023 08:04,yes,laughing
2,62,13-04-2023 08:04,yes,fire
2,65,13-04-2023 08:04,no,clap
2,69,13-04-2023 08:04,yes,single tap
2,80,13-04-2023 08:04,yes,double tap
2,84,13-04-2023 08:04,no,heart emoji
2,86,13-04-2023 08:04,yes,thumbs up
2,89,13-04-2023 08:04,yes,laughing
2,90,13-04-2023 08:04,no,fire
2,91,13-04-2023 08:04,yes,clap
2,92,13-04-2023 08:04,yes,heart emoji
2,99,13-04-2023 08:04,no,thumbs up
2,101,13-04-2023 08:04,yes,laughing
2,103,13-04-2023 08:04,yes,fire
2,105,13-04-2023 08:04,no,clap
2,107,13-04-2023 08:04,yes,heart emoji
2,111,13-04-2023 08:04,yes,thumbs up
2,112,13-04-2023 08:04,no,laughing
2,115,13-04-2023 08:04,yes,fire
2,117,13-04-2023 08:04,yes,clap
2,118,13-04-2023 08:04,no,single tap
2,119,13-04-2023 08:04,yes,double tap
2,126,13-04-2023 08:04,yes,heart emoji
2,127,13-04-2023 08:04,no,thumbs up
2,128,13-04-2023 08:04,yes,laughing
2,138,13-04-2023 08:04,yes,fire
2,140,13-04-2023 08:04,no,clap
2,142,13-04-2023 08:04,yes,single tap
2,146,13-04-2023 08:04,yes,double tap
2,154,13-04-2023 08:04,no,heart emoji
2,158,13-04-2023 08:04,yes,thumbs up
2,161,13-04-2023 08:04,yes,laughing
2,162,13-04-2023 08:04,no,fire
2,165,13-04-2023 08:04,yes,clap
2,167,13-04-2023 08:04,yes,clap
2,170,13-04-2023 08:04,no,single tap
2,171,13-04-2023 08:04,yes,double tap
2,174,13-04-2023 08:04,yes,heart emoji
2,176,13-04-2023 08:04,no,thumbs up
2,178,13-04-2023 08:04,yes,laughing
2,183,13-04-2023 08:04,yes,fire
2,186,13-04-2023 08:04,no,clap
2,187,13-04-2023 08:04,yes,single tap
2,189,13-04-2023 08:04,yes,double tap
2,191,13-04-2023 08:04,no,heart emoji
2,192,13-04-2023 08:04,yes,thumbs up
2,193,13-04-2023 08:04,yes,laughing
2,195,13-04-2023 08:04,no,fire
2,196,13-04-2023 08:04,yes,clap
2,198,13-04-2023 08:04,yes,heart emoji
2,199,13-04-2023 08:04,no,thumbs up
2,201,13-04-2023 08:04,yes,laughing
2,202,13-04-2023 08:04,yes,fire
2,205,13-04-2023 08:04,no,clap
2,206,13-04-2023 08:04,yes,heart emoji
2,207,13-04-2023 08:04,yes,thumbs up
2,209,13-04-2023 08:04,no,laughing
2,210,13-04-2023 08:04,yes,fire
2,214,13-04-2023 08:04,yes,clap
2,220,13-04-2023 08:04,no,single tap
2,224,13-04-2023 08:04,yes,double tap
2,227,13-04-2023 08:04,yes,heart emoji
2,230,13-04-2023 08:04,no,thumbs up
2,232,13-04-2023 08:04,yes,laughing
